title,description,price_chf,number_of_rooms,apartment_size_sqm,address,zip_code,city,latitude,longitude,publisher,distance_to_zurich_center,furnished,parking,rooms_per_sqm
Helle 3.5-Zimmer-Mietwohnung – Uster,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Modernes Bad mit Dusche und Badewanne. Südausrichtung mit viel natürlichem Licht.,1970.0,3.5,66.5,Weinbergstrasse 7,8610,Uster,47.34808,8.720802,Helvetia Immobilien,13.87,0,0,0.05263157894736842
Möblierte 2.5-Zimmer-Wohnung in Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Kindergarten und Schule in unmittelbarer Nähe. Einkaufsmöglichkeiten fussläufig erreichbar.",2430.0,2.5,73.9,Forchstrasse 109,8064,Zürich,47.389582,8.49587,Homegate,3.73,1,0,0.03382949932341001
Moderne 1.5-Zimmer-Apartment in Uster,"Gepflegte Wohnung in sehr gutem Zustand. Ruhige Lage, trotz stadtnaher Position. Schöne Aussicht auf die Umgebung. Ruhige Wohnlage im Quartier.",1260.0,1.5,48.8,Aargauerstrasse 140,8610,Uster,47.350144,8.719929,Procimmo,13.75,0,0,0.03073770491803279
Moderne 3.5-Zimmer-Wohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Südausrichtung mit viel natürlichem Licht. Ruhige Lage, trotz stadtnaher Position. Grosszügiger Keller inklusive.",3760.0,3.5,104.5,Heinrichstrasse 72,8004,Zürich,47.37258,8.524702,ImmoScout24,1.37,0,0,0.03349282296650718
Helle 1-Zimmer-Mietwohnung – Dietikon,Gepflegte Wohnung in sehr gutem Zustand. Ideale Verkehrsanbindung. Kindergarten und Schule in unmittelbarer Nähe. Südausrichtung mit viel natürlichem Licht. Grosszügiger Keller inklusive.,870.0,1.0,35.5,Limmatstrasse 89,8953,Dietikon,47.402971,8.402216,ImmoScout24,10.89,0,0,0.028169014084507043
Moderne 3.5-Zimmer-Mietwohnung in Dübendorf,Gepflegte Wohnung in sehr gutem Zustand. Frisch renoviert und neu gestrichen. Gute Anbindung an öffentliche Verkehrsmittel.,2750.0,3.5,96.3,Bucheggstrasse 93,8603,Dübendorf,47.391705,8.632969,Livit AG,7.07,0,0,0.036344755970924195
Schöne 2.5-Zimmer-Wohnung in Küsnacht,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Lift im Gebäude vorhanden. Ruhige Wohnlage im Quartier. Ruhige Lage, trotz stadtnaher Position. Frisch renoviert und neu gestrichen.",2610.0,2.5,71.5,Forchstrasse 60,8700,Küsnacht,47.3106,8.579922,Privat,7.91,0,0,0.03496503496503497
Geräumige 3-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Tiefgaragenplatz kann dazugemietet werden. Ideale Verkehrsanbindung. Grosszügiger Keller inklusive.,3550.0,3.0,76.2,Rosengartenstrasse 19,8001,Zürich,47.375455,8.537517,Livit AG,0.35,0,1,0.03937007874015748
Moderne 5-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Parkplatz kann dazugemietet werden. Balkon mit schöner Aussicht vorhanden. Südausrichtung mit viel natürlichem Licht. Gute Anbindung an öffentliche Verkehrsmittel.,4420.0,5.0,137.8,Mythenquai 84,8045,Zürich,47.362359,8.503409,Wincasa AG,3.31,0,1,0.036284470246734396
Geräumige 2.5-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Parkplatz kann dazugemietet werden. Gute Anbindung an öffentliche Verkehrsmittel. Modernes Bad mit Dusche und Badewanne.,2590.0,2.5,74.6,Talstrasse 128,8003,Zürich,47.366983,8.525161,Helvetia Immobilien,1.66,0,1,0.03351206434316354
Renovierte 3-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ruhige Wohnlage im Quartier. Kindergarten und Schule in unmittelbarer Nähe.,2840.0,3.0,84.7,Dörflistrasse 150,8057,Zürich,47.408382,8.542706,UBS Real Estate,3.5,0,0,0.03541912632821723
Moderne 1-Zimmer-Wohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Grosszügiger Keller inklusive. Einkaufsmöglichkeiten fussläufig erreichbar. Südausrichtung mit viel natürlichem Licht. Ruhige Lage, trotz stadtnaher Position.",1000.0,1.0,26.5,Forchstrasse 13,8057,Zürich,47.40497,8.549341,Procimmo,3.17,0,0,0.03773584905660377
Möblierte 3-Zimmer-Apartment in Zürich,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Frisch renoviert und neu gestrichen. Kindergarten und Schule in unmittelbarer Nähe.,2570.0,3.0,74.5,Mutschellenstrasse 136,8048,Zürich,47.384503,8.481748,Livit AG,4.59,1,0,0.040268456375838924
Schöne 3.5-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Garage kann dazugemietet werden. Modernes Bad mit Dusche und Badewanne. Balkon mit schöner Aussicht vorhanden. Kindergarten und Schule in unmittelbarer Nähe. Ruhige Wohnlage im Quartier.,3880.0,3.5,107.9,Heinrichstrasse 29,8032,Zürich,47.364242,8.555472,Helvetia Immobilien,1.75,0,1,0.03243744207599629
Renovierte 3-Zimmer-Mietwohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Tiefgaragenplatz kann dazugemietet werden. Ruhige Lage, trotz stadtnaher Position. Ruhige Wohnlage im Quartier. Kindergarten und Schule in unmittelbarer Nähe.",2690.0,3.0,81.5,Schaffhauserstrasse 77,8037,Zürich,47.397395,8.52974,Helvetia Immobilien,2.45,0,1,0.03680981595092025
2.5-Zimmer-Apartment in Birmensdorf,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ruhige Lage, trotz stadtnaher Position. Balkon mit schöner Aussicht vorhanden. Gute Anbindung an öffentliche Verkehrsmittel.",1910.0,2.5,72.3,Bahnhofstrasse 83,8903,Birmensdorf,47.359244,8.428943,Homegate,8.72,0,0,0.034578146611341634
2-Zimmer-Wohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Garage kann dazugemietet werden. Ruhige Lage, trotz stadtnaher Position. Ruhige Wohnlage im Quartier. Modernes Bad mit Dusche und Badewanne. Ideale Verkehrsanbindung.",2460.0,2.0,70.7,Bellerivestrasse 146,8004,Zürich,47.380271,8.527282,Helvetia Immobilien,1.15,0,1,0.028288543140028287
Zentral gelegene 3.5-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Kindergarten und Schule in unmittelbarer Nähe. Modernes Bad mit Dusche und Badewanne.,2810.0,3.5,65.1,Militärstrasse 68,8001,Zürich,47.380822,8.542662,Privat,0.44,0,0,0.05376344086021506
Geräumige 3-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Einstellplatz kann dazugemietet werden. Südausrichtung mit viel natürlichem Licht. Gute Anbindung an öffentliche Verkehrsmittel. Modernes Bad mit Dusche und Badewanne.,3190.0,3.0,88.6,Hohlstrasse 103,8004,Zürich,47.384790499999994,8.526689,ImmoScout24,1.43,0,1,0.033860045146726865
Renovierte 3-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Schöne Aussicht auf die Umgebung. Südausrichtung mit viel natürlichem Licht.,2550.0,3.0,71.5,Heinrichstrasse 6,8004,Zürich,47.384790499999994,8.53807,Homegate,0.92,0,0,0.04195804195804196
Zentral gelegene 4-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Gute Anbindung an öffentliche Verkehrsmittel. Balkon mit schöner Aussicht vorhanden. Frisch renoviert und neu gestrichen. Ideale Verkehrsanbindung.,5350.0,4.0,141.2,Mythenquai 18,8008,Zürich,47.359512,8.55285,Privat,2.11,0,0,0.028328611898017
Schöne 2-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Carport kann dazugemietet werden. Gute Anbindung an öffentliche Verkehrsmittel. Südausrichtung mit viel natürlichem Licht. Modernes Bad mit Dusche und Badewanne.,2330.0,2.0,47.8,Regensbergstrasse 147,8008,Zürich,47.35671,8.564448,Procimmo,2.82,0,1,0.041841004184100423
Schöne 1-Zimmer-Apartment in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Garage kann dazugemietet werden. Frisch renoviert und neu gestrichen. Ruhige Lage, trotz stadtnaher Position. Südausrichtung mit viel natürlichem Licht. Schöne Aussicht auf die Umgebung.",1390.0,1.0,32.6,Limmatstrasse 109,8032,Zürich,47.362999,8.5429,Procimmo,1.55,0,1,0.03067484662576687
Moderne 2-Zimmer-Wohnung in Bülach,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ruhige Wohnlage im Quartier. Grosszügiger Keller inklusive. Ruhige Lage, trotz stadtnaher Position.",1990.0,2.0,82.5,Heinrichstrasse 28,8180,Bülach,47.523335,8.542566,Livit AG,16.28,0,0,0.024242424242424242
Schöne 2-Zimmer-Wohnung in Horgen,Gepflegte Wohnung in sehr gutem Zustand. Südausrichtung mit viel natürlichem Licht. Schöne Aussicht auf die Umgebung. Frisch renoviert und neu gestrichen. Kindergarten und Schule in unmittelbarer Nähe.,1800.0,2.0,66.1,Mutschellenstrasse 64,8810,Horgen,47.258988,8.596921,Homegate,13.76,0,0,0.030257186081694407
Schöne 3-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Tiefgaragenplatz kann dazugemietet werden. Schöne Aussicht auf die Umgebung. Ruhige Wohnlage im Quartier. Grosszügiger Keller inklusive.,2510.0,3.0,79.1,Forchstrasse 61,8049,Zürich,47.401458,8.500886,Homegate,4.11,0,1,0.03792667509481669
Helle 3.5-Zimmer-Apartment – Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Ruhige Lage, trotz stadtnaher Position. Kindergarten und Schule in unmittelbarer Nähe. Frisch renoviert und neu gestrichen. Ideale Verkehrsanbindung.",2920.0,3.5,89.3,Jupiterstrasse 68,8045,Zürich,47.365714,8.508455,Comparis,2.8,0,0,0.03919372900335946
2.5-Zimmer-Wohnung in Winterthur,"Gepflegte Wohnung in sehr gutem Zustand. Schöne Aussicht auf die Umgebung. Modernes Bad mit Dusche und Badewanne. Lift im Gebäude vorhanden. Ruhige Lage, trotz stadtnaher Position.",1960.0,2.5,80.4,Aargauerstrasse 76,8404,Winterthur,47.48761,8.730066,Homegate,18.77,0,0,0.031094527363184077
