title,description,price,number_of_rooms,apartment_size_sqm,address,zip_code,city,latitude,longitude,publisher
Helle 3.5-Zimmer-Mietwohnung – Uster,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Modernes Bad mit Dusche und Badewanne. Südausrichtung mit viel natürlichem Licht.,1970.0,3.5,66.5,Weinbergstrasse 7,8610,Uster,47.34808,8.720802,Helvetia Immobilien
Möblierte 2.5-Zimmer-Wohnung in Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Kindergarten und Schule in unmittelbarer Nähe. Einkaufsmöglichkeiten fussläufig erreichbar.",2430.0,2.5,73.9,Forchstrasse 109,8064,Zürich,47.389582,8.49587,Homegate
Moderne 1.5-Zimmer-Apartment in Uster,"Gepflegte Wohnung in sehr gutem Zustand. Ruhige Lage, trotz stadtnaher Position. Schöne Aussicht auf die Umgebung. Ruhige Wohnlage im Quartier.",1260.0,1.5,48.8,Aargauerstrasse 140,8610,Uster,47.350144,8.719929,Procimmo
Moderne 3.5-Zimmer-Wohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Südausrichtung mit viel natürlichem Licht. Ruhige Lage, trotz stadtnaher Position. Grosszügiger Keller inklusive.",3760.0,3.5,104.5,Heinrichstrasse 72,8004,Zürich,47.37258,8.524702,ImmoScout24
Helle 1-Zimmer-Mietwohnung – Dietikon,Gepflegte Wohnung in sehr gutem Zustand. Ideale Verkehrsanbindung. Kindergarten und Schule in unmittelbarer Nähe. Südausrichtung mit viel natürlichem Licht. Grosszügiger Keller inklusive.,870.0,1.0,35.5,Limmatstrasse 89,8953,Dietikon,47.402971,8.402216,ImmoScout24
Moderne 3.5-Zimmer-Mietwohnung in Dübendorf,Gepflegte Wohnung in sehr gutem Zustand. Frisch renoviert und neu gestrichen. Gute Anbindung an öffentliche Verkehrsmittel.,2750.0,3.5,96.3,Bucheggstrasse 93,8603,Dübendorf,47.391705,8.632969,Livit AG
Schöne 2.5-Zimmer-Wohnung in Küsnacht,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Lift im Gebäude vorhanden. Ruhige Wohnlage im Quartier. Ruhige Lage, trotz stadtnaher Position. Frisch renoviert und neu gestrichen.",2610.0,2.5,71.5,Forchstrasse 60,8700,Küsnacht,47.3106,8.579922,Privat
Geräumige 3-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Tiefgaragenplatz kann dazugemietet werden. Ideale Verkehrsanbindung. Grosszügiger Keller inklusive.,3550.0,3.0,76.2,Rosengartenstrasse 19,8001,Zürich,47.375455,8.537517,Livit AG
Moderne 5-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Parkplatz kann dazugemietet werden. Balkon mit schöner Aussicht vorhanden. Südausrichtung mit viel natürlichem Licht. Gute Anbindung an öffentliche Verkehrsmittel.,4420.0,5.0,137.8,Mythenquai 84,8045,Zürich,47.362359,8.503409,Wincasa AG
Geräumige 2.5-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Parkplatz kann dazugemietet werden. Gute Anbindung an öffentliche Verkehrsmittel. Modernes Bad mit Dusche und Badewanne.,2590.0,2.5,74.6,Talstrasse 128,8003,Zürich,47.366983,8.525161,Helvetia Immobilien
Renovierte 3-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ruhige Wohnlage im Quartier. Kindergarten und Schule in unmittelbarer Nähe.,2840.0,3.0,84.7,Dörflistrasse 150,8057,Zürich,47.408382,8.542706,UBS Real Estate
Moderne 1-Zimmer-Wohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Grosszügiger Keller inklusive. Einkaufsmöglichkeiten fussläufig erreichbar. Südausrichtung mit viel natürlichem Licht. Ruhige Lage, trotz stadtnaher Position.",1000.0,1.0,26.5,Forchstrasse 13,8057,Zürich,47.40497,8.549341,Procimmo
Möblierte 3-Zimmer-Apartment in Zürich,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Frisch renoviert und neu gestrichen. Kindergarten und Schule in unmittelbarer Nähe.,2570.0,3.0,74.5,Mutschellenstrasse 136,8048,Zürich,47.384503,8.481748,Livit AG
Schöne 3.5-Zimmer-Apartment in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Garage kann dazugemietet werden. Modernes Bad mit Dusche und Badewanne. Balkon mit schöner Aussicht vorhanden. Kindergarten und Schule in unmittelbarer Nähe. Ruhige Wohnlage im Quartier.,3880.0,3.5,107.9,Heinrichstrasse 29,8032,Zürich,47.364242,8.555472,Helvetia Immobilien
Renovierte 3-Zimmer-Mietwohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Tiefgaragenplatz kann dazugemietet werden. Ruhige Lage, trotz stadtnaher Position. Ruhige Wohnlage im Quartier. Kindergarten und Schule in unmittelbarer Nähe.",2690.0,3.0,81.5,Schaffhauserstrasse 77,8037,Zürich,47.397395,8.52974,Helvetia Immobilien
2.5-Zimmer-Apartment in Birmensdorf,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ruhige Lage, trotz stadtnaher Position. Balkon mit schöner Aussicht vorhanden. Gute Anbindung an öffentliche Verkehrsmittel.",1910.0,2.5,72.3,Bahnhofstrasse 83,8903,Birmensdorf,47.359244,8.428943,Homegate
2-Zimmer-Wohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Garage kann dazugemietet werden. Ruhige Lage, trotz stadtnaher Position. Ruhige Wohnlage im Quartier. Modernes Bad mit Dusche und Badewanne. Ideale Verkehrsanbindung.",2460.0,2.0,70.7,Bellerivestrasse 146,8004,Zürich,47.380271,8.527282,Helvetia Immobilien
Zentral gelegene 3.5-Zimmer-Mietwohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Kindergarten und Schule in unmittelbarer Nähe. Modernes Bad mit Dusche und Badewanne.,2810.0,3.5,65.1,Militärstrasse 68,8001,Zürich,47.380822,8.542662,Privat
Geräumige 3-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Einstellplatz kann dazugemietet werden. Südausrichtung mit viel natürlichem Licht. Gute Anbindung an öffentliche Verkehrsmittel. Modernes Bad mit Dusche und Badewanne.,3190.0,3.0,88.6,Hohlstrasse 103,8004,Zürich,,8.526689,ImmoScout24
Renovierte 3-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Schöne Aussicht auf die Umgebung. Südausrichtung mit viel natürlichem Licht.,2550.0,3.0,71.5,Heinrichstrasse 6,8004,Zürich,,8.53807,Homegate
Zentral gelegene 4-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Gute Anbindung an öffentliche Verkehrsmittel. Balkon mit schöner Aussicht vorhanden. Frisch renoviert und neu gestrichen. Ideale Verkehrsanbindung.,5350.0,4.0,141.2,Mythenquai 18,8008,Zürich,47.359512,8.55285,Privat
Schöne 2-Zimmer-Mietwohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Carport kann dazugemietet werden. Gute Anbindung an öffentliche Verkehrsmittel. Südausrichtung mit viel natürlichem Licht. Modernes Bad mit Dusche und Badewanne.,2330.0,2.0,47.8,Regensbergstrasse 147,8008,Zürich,47.35671,8.564448,Procimmo
Schöne 1-Zimmer-Apartment in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Garage kann dazugemietet werden. Frisch renoviert und neu gestrichen. Ruhige Lage, trotz stadtnaher Position. Südausrichtung mit viel natürlichem Licht. Schöne Aussicht auf die Umgebung.",1390.0,1.0,32.6,Limmatstrasse 109,8032,Zürich,47.362999,8.5429,Procimmo
Moderne 2-Zimmer-Wohnung in Bülach,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Ruhige Wohnlage im Quartier. Grosszügiger Keller inklusive. Ruhige Lage, trotz stadtnaher Position.",1990.0,2.0,82.5,Heinrichstrasse 28,8180,Bülach,47.523335,8.542566,Livit AG
Schöne 2-Zimmer-Wohnung in Horgen,Gepflegte Wohnung in sehr gutem Zustand. Südausrichtung mit viel natürlichem Licht. Schöne Aussicht auf die Umgebung. Frisch renoviert und neu gestrichen. Kindergarten und Schule in unmittelbarer Nähe.,1800.0,2.0,66.1,Mutschellenstrasse 64,8810,Horgen,47.258988,8.596921,Homegate
Schöne 3-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Tiefgaragenplatz kann dazugemietet werden. Schöne Aussicht auf die Umgebung. Ruhige Wohnlage im Quartier. Grosszügiger Keller inklusive.,2510.0,3.0,79.1,Forchstrasse 61,8049,Zürich,47.401458,8.500886,Homegate
Helle 3.5-Zimmer-Apartment – Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Ruhige Lage, trotz stadtnaher Position. Kindergarten und Schule in unmittelbarer Nähe. Frisch renoviert und neu gestrichen. Ideale Verkehrsanbindung.",2920.0,3.5,89.3,Jupiterstrasse 68,8045,Zürich,47.365714,8.508455,Comparis
2.5-Zimmer-Wohnung in Winterthur,"Gepflegte Wohnung in sehr gutem Zustand. Schöne Aussicht auf die Umgebung. Modernes Bad mit Dusche und Badewanne. Lift im Gebäude vorhanden. Ruhige Lage, trotz stadtnaher Position.",1960.0,2.5,80.4,Aargauerstrasse 76,8404,Winterthur,47.48761,8.730066,Homegate
Moderne 4-Zimmer-Mietwohnung in Urdorf,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Südausrichtung mit viel natürlichem Licht. Ruhige Wohnlage im Quartier. Ruhige Lage, trotz stadtnaher Position. Einkaufsmöglichkeiten fussläufig erreichbar.",3290.0,4.0,130.0,Josefstrasse 129,8902,Urdorf,47.383399,8.418112,ImmoScout24
Renovierte 3-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Schöne Aussicht auf die Umgebung. Einkaufsmöglichkeiten fussläufig erreichbar. Südausrichtung mit viel natürlichem Licht. Grosszügiger Keller inklusive.,3130.0,3.0,85.7,Bellerivestrasse 104,8005,Zürich,47.386466,8.522935,Helvetia Immobilien
Geräumige 3.5-Zimmer-Wohnung in Zürich,Gepflegte Wohnung in sehr gutem Zustand. Balkon mit schöner Aussicht vorhanden. Grosszügiger Keller inklusive.,3740.0,3.5,105.5,Badenerstrasse 67,8003,Zürich,47.369105,8.525186,Comparis
Zentral gelegene 3-Zimmer-Apartment – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Ideale Verkehrsanbindung. Einkaufsmöglichkeiten fussläufig erreichbar.,3490.0,3.0,100.2,Hohlstrasse 118,8004,Zürich,47.378099,8.523766,ImmoScout24
Renovierte 3.5-Zimmer-Wohnung in Pfäffikon ZH,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Südausrichtung mit viel natürlichem Licht. Gute Anbindung an öffentliche Verkehrsmittel. Lift im Gebäude vorhanden.,1840.0,3.5,65.8,Rämistrasse 138,8330,Pfäffikon ZH,47.373262,8.790911,Livit AG
Geräumige 4-Zimmer-Mietwohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Kindergarten und Schule in unmittelbarer Nähe. Schöne Aussicht auf die Umgebung. Frisch renoviert und neu gestrichen. Ruhige Lage, trotz stadtnaher Position.",2550.0,4.0,83.5,Militärstrasse 113,8047,Zürich,47.387519,8.502597,Livit AG
Möblierte 1-Zimmer-Apartment in Zürich,Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Kindergarten und Schule in unmittelbarer Nähe. Ruhige Wohnlage im Quartier. Balkon mit schöner Aussicht vorhanden. Frisch renoviert und neu gestrichen.,1250.0,,30.4,Schaffhauserstrasse 35,8064,Zürich,47.38848,8.494917,Privat
Möblierte Mietwohnung – Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Schöne Aussicht auf die Umgebung. Südausrichtung mit viel natürlichem Licht. Frisch renoviert und neu gestrichen.",2280.0,2.5,45.5,Heinrichstrasse 53,8002,Zürich,47.353421,8.531014,Procimmo
Helle 4-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Parkplatz kann dazugemietet werden. Modernes Bad mit Dusche und Badewanne. Ideale Verkehrsanbindung.,3500.0,4.0,96.5,Rosengartenstrasse 12,8006,Zürich,47.392761,8.543369,Helvetia Immobilien
Möblierte 3.5-Zimmer-Wohnung in Zürich,"Die Wohnung ist vollständig möbliert und direkt bezugsbereit. Alle nötigen Möbel, Kühlschrank, Geschirrspüler und Waschmaschine sind vorhanden. Tiefgaragenplatz kann dazugemietet werden. Schöne Aussicht auf die Umgebung. Lift im Gebäude vorhanden. Einkaufsmöglichkeiten fussläufig erreichbar. Kindergarten und Schule in unmittelbarer Nähe.",3390.0,3.5,107.1,Zürichbergstrasse 144,8064,Zürich,47.387624,8.493476,Comparis
Helle 3-Zimmer-Wohnung – Zürich,Gepflegte Wohnung in sehr gutem Zustand. Moderne Einbauküche vorhanden. Lift im Gebäude vorhanden. Gute Anbindung an öffentliche Verkehrsmittel.,3370.0,3.0,95.1,Zürichbergstrasse 33,8004,Zürich,47.379062,8.526629,Privat
Zentral gelegene 3-Zimmer-Mietwohnung – Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Modernes Bad mit Dusche und Badewanne. Ruhige Wohnlage im Quartier. Gute Anbindung an öffentliche Verkehrsmittel. Ruhige Lage, trotz stadtnaher Position.",2940.0,3.0,86.1,Schaffhauserstrasse 91,8004,Zürich,47.375581,8.532305,Comparis
Geräumige 3-Zimmer-Wohnung in Zürich,"Gepflegte Wohnung in sehr gutem Zustand. Ruhige Lage, trotz stadtnaher Position. Frisch renoviert und neu gestrichen. Gute Anbindung an öffentliche Verkehrsmittel.",2470.0,3.0,86.3,Gloriastrasse 7,8046,Zürich,47.432812,8.518924,Livit AG
